"";"round";"id";"log_household_labor_endowment";"log_household_money";"log_household_labor";"log_household_consumption_good"
"1";0;0;1;0;0;1
"2";0;1;1;0;0;1
"3";1;0;1;0;0;1
"4";10;0;1;0;0;1
"5";10;1;1;0;0;1
"6";1;1;1;0;0;1
"7";11;0;1;0;0;1
"8";11;1;1;0;0;1
"9";12;0;1;0;0;1
"10";12;1;1;0;0;1
"11";13;0;1;0;0;1
"12";13;1;1;0;0;1
"13";14;0;1;0;0;1
"14";14;1;1;0;0;1
"15";15;0;1;0;0;1
"16";15;1;1;0;0;1
"17";16;0;1;0;0;1
"18";16;1;1;0;0;1
"19";17;0;1;0;0;1
"20";17;1;1;0;0;1
"21";18;0;1;0;0;1
"22";18;1;1;0;0;1
"23";19;0;1;0;0;1
"24";19;1;1;0;0;1
"25";2;0;1;0;0;1
"26";20;0;1;0;0;1
"27";20;1;1;0;0;1
"28";2;1;1;0;0;1
"29";21;0;1;0;0;1
"30";21;1;1;0;0;1
"31";22;0;1;0;0;1
"32";22;1;1;0;0;1
"33";23;0;1;0;0;1
"34";23;1;1;0;0;1
"35";24;0;1;0;0;1
"36";24;1;1;0;0;1
"37";25;0;1;0;0;1
"38";25;1;1;0;0;1
"39";26;0;1;0;0;1
"40";26;1;1;0;0;1
"41";27;0;1;0;0;1
"42";27;1;1;0;0;1
"43";28;0;1;0;0;1
"44";28;1;1;0;0;1
"45";29;0;1;0;0;1
"46";29;1;1;0;0;1
"47";3;0;1;0;0;1
"48";30;0;1;0;0;1
"49";30;1;1;0;0;1
"50";3;1;1;0;0;1
"51";31;0;1;0;0;1
"52";31;1;1;0;0;1
"53";32;0;1;0;0;1
"54";32;1;1;0;0;1
"55";33;0;1;0;0;1
"56";33;1;1;0;0;1
"57";34;0;1;0;0;1
"58";34;1;1;0;0;1
"59";35;0;1;0;0;1
"60";35;1;1;0;0;1
"61";36;0;1;0;0;1
"62";36;1;1;0;0;1
"63";37;0;1;0;0;1
"64";37;1;1;0;0;1
"65";38;0;1;0;0;1
"66";38;1;1;0;0;1
"67";39;0;1;0;0;1
"68";39;1;1;0;0;1
"69";4;0;1;0;0;1
"70";4;1;1;0;0;1
"71";5;0;1;0;0;1
"72";5;1;1;0;0;1
"73";6;0;1;0;0;1
"74";6;1;1;0;0;1
"75";7;0;1;0;0;1
"76";7;1;1;0;0;1
"77";8;0;1;0;0;1
"78";8;1;1;0;0;1
"79";9;0;1;0;0;1
"80";9;1;1;0;0;1
