"";"round";"buyer";"seller";"good";"quantity";"price"
"1";0;"firm_0";"household";"labor";1;1
"2";0;"household";"firm_0";"GOOD";1;1
"3";1;"firm_0";"household";"labor";1;1
"4";1;"household";"firm_0";"GOOD";1;1
"5";2;"firm_0";"household";"labor";1;1
"6";2;"household";"firm_0";"GOOD";1;1
"7";3;"firm_0";"household";"labor";1;1
"8";3;"household";"firm_0";"GOOD";1;1
"9";4;"firm_0";"household";"labor";1;1
"10";4;"household";"firm_0";"GOOD";1;1
"11";5;"firm_0";"household";"labor";1;1
"12";5;"household";"firm_0";"GOOD";1;1
"13";6;"firm_0";"household";"labor";1;1
"14";6;"household";"firm_0";"GOOD";1;1
"15";7;"firm_0";"household";"labor";1;1
"16";7;"household";"firm_0";"GOOD";1;1
"17";8;"firm_0";"household";"labor";1;1
"18";8;"household";"firm_0";"GOOD";1;1
"19";9;"firm_0";"household";"labor";1;1
"20";9;"household";"firm_0";"GOOD";1;1
